year month day AAPL GOOGL MSFT PG XOM
2005  11  08 8.18 195.15 22.34 43.57 47.25
2005  11  09 8.21   - 22.27 43.8 47.36
2005  11  10 8.35 195.75 22.37 44.09 46.49
2005  11  11 8.4 195.4 22.53 44.09 46.55
2005  11  14 8.39 198.68 22.6 43.74 46.66
2005  11  15 8.5 196.6 22.78 43.8 46.48
2005  11  16 8.87 199.27 22.98 44.27 47.09
2005  11  17 8.81 201.93 23.17 44.7 47.26
2005  11  18 8.82 200.31 23.25 44.93 47.97
2005  11  21 8.87 204.88 23.33 45.08 48.9
2005  11  22 9.08 208.44 23.12 44.69 49.14
2005  11  23 9.16 211.64 23.13 44.59 49.31
2005  11  25 9.47 214.52 22.99 44.8 49.51
2005  11  28 9.51 211.95 22.99 44.67 48.38
2005  11  29 9.3 201.97 22.93 45.11 48.05
2005  11  30 9.26 202.66 22.93 44.73 47.79
2005  12  01 9.78 207.25 23.1 45.08 48.88
2005  12  02 9.92 209.06 23.2 44.86 48.65
2005  12  05 9.81 203.13 23.07 44.92 49.01
2005  12  06 10.11 202.47 22.94 44.9 49.16
2005  12  07 10.1 202.31 22.99 44.61 48.61
2005  12  08 10.12 205.53 22.94 44.59 48.94
2005  12  09 10.15 204.8 22.95 44.84 48.18
2005  12  12 10.23 206.51 22.74 44.51 48.48
2005  12  13 10.24 208.95 22.47 45.76 48.64
2005  12  14 9.83 209.69 22.44 46.63 49.3
2005  12  15 9.86 211.49 22.3 46.14 49.0
2005  12  16 9.71 215.29 22.28 45.45 47.82
2005  12  19 9.75 212.51 22.22 45.79 47.52
2005  12  20 9.85 215.09 22.25 45.53 47.71
2005  12  21 10.04 213.38 22.14 45.77 47.44
2005  12  22 10.11 216.24 22.02 45.97 47.03
2005  12  23 10.02 215.68 22.07 46.05 47.03
2005  12  27 10.14 212.53 21.92 45.83 46.01
2005  12  28 10.05 213.56 21.86 45.79 46.33
2005  12  29 9.76 210.29 21.76 45.69 46.32
2005  12  30 9.82 207.64 21.66 45.27 46.26
2006  01  03 10.21 217.83 22.23 45.97 48.16
2006  01  04 10.24 222.84 22.34 46.06 48.24
2006  01  05 10.16 225.85 22.36 45.91 48.0
2006  01  06 10.42 233.06 22.29 45.86 48.95
2006  01  09 10.38 233.68 22.25 46.21 48.92
2006  01  10 11.04 235.12 22.36 46.03 49.3
2006  01  11 11.46 236.05 22.6 46.19 49.64
2006  01  12 11.51 232.05 22.48 45.68 49.12
2006  01  13 11.69 233.36 22.52 46.07 50.21
2006  01  17 11.57 233.79 22.36 45.87 50.68
2006  01  18 11.26 222.68 22.22 46.11 49.98
2006  01  19 10.79 218.44 22.38 45.98 50.65
2006  01  20 10.39 199.93 21.88 45.46 49.85
2006  01  23 10.61 213.96 21.83 45.3 50.4
2006  01  24 10.38 221.74 21.77 45.48 50.21
2006  01  25 10.13 216.72 21.87 45.95 49.59
2006  01  26 9.88 217.35 21.95 46.23 49.37
2006  01  27 9.84 216.96 23.02 46.95 50.48
2006  01  30 10.24 213.62 23.19 46.48 51.98
2006  01  31 10.31 216.55 23.32 46.55 51.68
2006  02  01 10.3 201.09 23.23 47.01 51.02
2006  02  02 9.84 198.22 22.93 46.88 51.02
2006  02  03 9.81 190.97 22.81 46.9 50.56
2006  02  06 9.19 192.74 22.51 46.99 51.04
2006  02  07 9.23 184.14 22.31 46.62 49.87
2006  02  08 9.4 184.72 22.29 46.74 50.0
2006  02  09 8.87 179.56 22.08 46.85 49.61
2006  02  10 9.19 181.49 22.11 46.92 49.21
2006  02  13 8.84 173.02 21.86 46.71 49.35
2006  02  14 9.24 171.83 22.07 47.03 49.31
2006  02  15 9.45 171.36 22.34 47.24 49.48
2006  02  16 9.64 183.41 22.28 47.73 49.89
2006  02  17 9.6 184.56 22.19 47.94 50.13
2006  02  21 9.43 183.48 22.06 47.85 50.31
2006  02  22 9.74 182.93 22.21 48.68 49.89
2006  02  23 9.8 189.22 22.16 48.32 49.54
2006  02  24 9.76 188.89 22.13 48.33 50.03
2006  02  27 9.69 195.39 22.48 48.21 49.61
2006  02  28 9.35 181.49 22.33 47.1 49.16
2006  03  01 9.44 182.58 22.56 47.24 49.96
